Gene	L21.Seq29.FA.11.WT.I	L22.Seq29.FA.11.KO.I	L23.Seq29.FA.12.WT.I	L24.Seq29.FA.12.KO.I	L25.Seq29.FA.13.WT.I	L26.Seq29.FA.13.KO.I	L27.Seq29.FA.14.WT.I	L28.Seq29.FA.14.KO.I	L29.Seq29.FA.15.WT.I	L30.Seq29.FA.15.KO.I
Gm16894	3.32062239069787	3.30540909221824	3.39992052123227	3.31086854456821	3.31315139626224	3.3830525704335	3.3107135661321	3.35317811135142	3.33921230219238	3.41564186895969
Gm16897	1.86476454213433	1.89514737486373	1.8928555030524	1.90093102181262	1.87298466456201	1.92422740372609	1.90186974046451	1.87722933554658	1.90168718161216	1.88192679039585
Gm16907	8.23568371120101	8.33599828317892	8.27465404141005	8.13882970115067	8.26822793302282	8.33048147880761	7.97774843804611	8.24329292906574	8.17203163239076	8.03134469971157
Gm16938	0.518009755862948	0.519715183619559	0.504700233685928	0.519102523164265	0.51239186121985	0.504846278625231	0.510781438054611	0.517123932667226	0.514106853241541	0.527726409095647
Gm16973	6.51598729171724	6.70509402772577	6.70129934711766	6.66852300109023	6.64807808759273	6.50390587372365	6.73555241638774	6.69064987178179	6.76087292101777	6.62948671360147
Gm16976	1.65273820539831	1.66343414014545	1.63317072703901	1.64072088494626	1.62648638295934	1.64150083655792	1.6750516089312	1.65715013628641	1.66252425401923	1.63140568230423
Gm16982	1.44829038244715	1.48769709639459	1.41520861731894	1.42255618425512	1.44538833297823	1.41548574072705	1.44591541674132	1.4148599018009	1.41622078750715	1.43227326821472
Gm16984	2.66138786043386	2.62230982904687	2.59840506388979	2.62734183665272	2.63716159439258	2.61525233275594	2.62003525349125	2.601933293264	2.60627844385959	2.61697629352917
Gm16998	2.42286243181629	2.4473006453237	2.41665863662066	2.45963919563287	2.47658440108612	2.44012758833801	2.48809434208547	2.40888657292687	2.47265364787832	2.44940390759648
Gm17017	3.08505550243764	3.10263414798838	3.14674242413718	3.12211818874264	3.15337638276242	3.18705193946422	3.17305941092146	3.12085528997779	3.11912467392917	3.12245914333072
Gm17018	9.07276341907867	9.20891789943784	9.22245090044624	9.31013533949668	9.29743196111543	9.25545421174381	9.3068737588279	9.14984880352928	9.06536560348303	9.33836900120454
Gm17022	4.55574604314247	4.5116393227917	4.48875544588328	4.525517907402	4.5911118483813	4.49166194390754	4.51000312927269	4.57700781778789	4.65048942952205	4.46795322201015
Gm17023	2.26778948249687	2.22030624973243	2.23150249283848	2.23988515938411	2.19824871131007	2.213082005795	2.2145387067448	2.2147740473193	2.21840333070574	2.21267433099585
Gm17024	3.49291028048041	3.55431899770256	3.55517721028244	3.63547791849501	3.60346856477347	3.56169361517984	3.51600385361269	3.558856319909	3.59504403918557	3.54703555741595
Gm17029	5.48411927770031	5.54949177100916	5.54674376100135	5.37880101863554	5.47426920404505	5.4372710801483	5.43481148747252	5.59401216940281	5.47106128111329	5.3945491737138
Gm17034	2.61941630562743	2.54730626495232	2.55844432519245	2.52444005695974	2.56231280970189	2.56205569915005	2.51608897864378	2.60754590142341	2.57159102597933	2.51564088467579
Gm17036	0.192013335044978	0.192189397709249	0.199166285857409	0.199440767582604	0.19985901859245	0.207365136520038	0.198291530296527	0.198352094765136	0.219282930921056	0.197812004617455
